 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  08/11/2022 11:26:53                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


18 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000002 0xAB645BD0 0x00000FA8 0xAB645BC0 0x00000FC8 0x00000F68 new[]       N       N    main.cpp(00198)::random_scene
000005 0xAB649080 0x00000020 0xAB649070 0x00000040 0x00000000 new         N       N    main.cpp(00214)::random_scene
000011 0xAB649100 0x00000020 0xAB6490F0 0x00000040 0x00000000 new         N       N    main.cpp(00214)::random_scene
000006 0xAB649400 0x00000018 0xAB6493F0 0x00000038 0x00000004 new         N       N    main.cpp(00214)::random_scene
000012 0xAB649480 0x00000018 0xAB649470 0x00000038 0x00000004 new         N       N    main.cpp(00214)::random_scene
000003 0xAB649500 0x00000020 0xAB6494F0 0x00000040 0x00000000 new         N       N    main.cpp(00199)::random_scene
000010 0xAB649580 0x00000018 0xAB649570 0x00000038 0x00000004 new         N       N    main.cpp(00214)::random_scene
000013 0xAB649600 0x00000020 0xAB6495F0 0x00000040 0x00000000 new         N       N    main.cpp(00227)::random_scene
000015 0xAB649680 0x00000020 0xAB649670 0x00000040 0x00000000 new         N       N    main.cpp(00228)::random_scene
000016 0xAB649700 0x00000018 0xAB6496F0 0x00000038 0x00000004 new         N       N    main.cpp(00228)::random_scene
000018 0xAB649780 0x00000018 0xAB649770 0x00000038 0x00000004 new         N       N    main.cpp(00229)::random_scene
000019 0xAB649800 0x00000018 0xAB6497F0 0x00000038 0x00000000 new         N       N    main.cpp(00231)::random_scene
000017 0xAB649A00 0x00000020 0xAB6499F0 0x00000040 0x00000000 new         N       N    main.cpp(00229)::random_scene
000004 0xAB649B80 0x00000018 0xAB649B70 0x00000038 0x00000004 new         N       N    main.cpp(00199)::random_scene
000007 0xAB649C00 0x00000020 0xAB649BF0 0x00000040 0x00000000 new         N       N    main.cpp(00214)::random_scene
000009 0xAB649C80 0x00000020 0xAB649C70 0x00000040 0x00000000 new         N       N    main.cpp(00214)::random_scene
000008 0xAB649D80 0x00000018 0xAB649D70 0x00000038 0x00000004 new         N       N    main.cpp(00214)::random_scene
000014 0xAB63F990 0x00000010 0xAB63F980 0x00000030 0x00000004 new         N       N    main.cpp(00227)::random_scene
